Position,D1_1,D12_1,N2_D6_1
379,3.37E+00,3.58E+00,2.07E+00
380,3.37E+00,3.59E+00,2.07E+00
381,3.37E+00,3.59E+00,2.07E+00
382,3.37E+00,3.59E+00,2.07E+00
383,3.37E+00,3.59E+00,2.07E+00
384,3.37E+00,3.59E+00,2.07E+00
385,3.37E+00,3.59E+00,2.07E+00
386,3.37E+00,3.60E+00,2.07E+00
387,3.37E+00,3.60E+00,2.07E+00
388,3.37E+00,3.60E+00,2.07E+00
389,3.37E+00,3.60E+00,2.07E+00
390,3.37E+00,3.60E+00,2.07E+00
391,3.37E+00,3.60E+00,2.07E+00
392,3.37E+00,3.60E+00,2.07E+00
393,3.37E+00,3.61E+00,2.06E+00
394,3.38E+00,3.61E+00,2.06E+00
395,3.37E+00,3.61E+00,2.06E+00
396,3.37E+00,3.61E+00,2.06E+00
397,3.38E+00,3.61E+00,2.06E+00
398,3.38E+00,3.61E+00,2.06E+00
399,3.38E+00,3.62E+00,2.06E+00
400,3.38E+00,3.62E+00,2.06E+00
401,3.38E+00,3.62E+00,2.06E+00
402,3.38E+00,3.62E+00,2.06E+00
403,3.38E+00,3.62E+00,2.06E+00
404,3.38E+00,3.63E+00,2.06E+00
405,3.38E+00,3.63E+00,2.06E+00
406,3.38E+00,3.63E+00,2.06E+00
407,3.38E+00,3.63E+00,2.06E+00
408,3.38E+00,3.63E+00,2.06E+00
409,3.38E+00,3.63E+00,2.06E+00
410,3.38E+00,3.63E+00,2.06E+00
411,3.38E+00,3.64E+00,2.06E+00
412,3.38E+00,3.64E+00,2.06E+00
413,3.38E+00,3.64E+00,2.06E+00
414,3.38E+00,3.64E+00,2.06E+00
415,3.38E+00,3.64E+00,2.06E+00
416,3.38E+00,3.64E+00,2.06E+00
417,3.38E+00,3.64E+00,2.06E+00
418,3.38E+00,3.64E+00,2.06E+00
419,3.38E+00,3.64E+00,2.06E+00
420,3.38E+00,3.64E+00,2.06E+00
421,3.38E+00,3.65E+00,2.06E+00
422,3.38E+00,3.65E+00,2.06E+00
423,3.38E+00,3.65E+00,2.05E+00
424,3.38E+00,3.65E+00,2.05E+00
425,3.38E+00,3.65E+00,2.05E+00
426,3.38E+00,3.65E+00,2.05E+00
427,3.39E+00,3.65E+00,2.05E+00
428,3.39E+00,3.65E+00,2.05E+00
429,3.39E+00,3.65E+00,2.05E+00
430,3.39E+00,3.65E+00,2.05E+00
431,3.39E+00,3.65E+00,2.05E+00
432,3.39E+00,3.65E+00,2.05E+00
433,3.39E+00,3.65E+00,2.05E+00
434,3.39E+00,3.65E+00,2.05E+00
435,3.39E+00,3.65E+00,2.05E+00
436,3.39E+00,3.65E+00,2.05E+00
437,3.39E+00,3.66E+00,2.05E+00
438,3.39E+00,3.66E+00,2.05E+00
439,3.39E+00,3.66E+00,2.04E+00
440,3.39E+00,3.66E+00,2.04E+00
441,3.39E+00,3.66E+00,2.04E+00
442,3.39E+00,3.66E+00,2.04E+00
443,3.39E+00,3.66E+00,2.04E+00
444,3.39E+00,3.66E+00,2.04E+00
445,3.39E+00,3.66E+00,2.04E+00
446,3.39E+00,3.66E+00,2.04E+00
447,3.39E+00,3.66E+00,2.04E+00
448,3.39E+00,3.66E+00,2.03E+00
449,3.39E+00,3.66E+00,2.03E+00
450,3.39E+00,3.66E+00,2.03E+00
451,3.39E+00,3.66E+00,2.03E+00
452,3.39E+00,3.66E+00,2.03E+00
453,3.39E+00,3.66E+00,2.03E+00
454,3.39E+00,3.67E+00,2.03E+00
455,3.39E+00,3.67E+00,2.03E+00
456,3.39E+00,3.67E+00,2.02E+00
457,3.39E+00,3.67E+00,2.02E+00
458,3.39E+00,3.67E+00,2.02E+00
459,3.39E+00,3.67E+00,2.02E+00
460,3.39E+00,3.67E+00,2.02E+00
461,3.39E+00,3.67E+00,2.01E+00
462,3.39E+00,3.67E+00,2.01E+00
463,3.39E+00,3.67E+00,2.01E+00
464,3.39E+00,3.67E+00,2.01E+00
465,3.39E+00,3.67E+00,2.01E+00
466,3.39E+00,3.67E+00,2.01E+00
467,3.39E+00,3.67E+00,2.00E+00
468,3.39E+00,3.67E+00,2.00E+00
469,3.39E+00,3.67E+00,2.00E+00
470,3.39E+00,3.67E+00,2.00E+00
471,3.39E+00,3.67E+00,2.00E+00
472,3.39E+00,3.67E+00,1.99E+00
473,3.39E+00,3.67E+00,1.99E+00
