ORF,GFP_R12,rank_GFP,abs,rank_abs
YJL177W,-0.047969,3799,0.047969,3255
YKL129C,-0.047955,3798,0.047955,3256
YNL095C,0.047908,1681,0.047908,3257
YHR015W,-0.047889,3797,0.047889,3258
YDR070C,0.047853,1682,0.047853,3259
YKL106C-A,-0.047824,3796,0.047824,3260
YOL021C,0.047744,1683,0.047744,3261
YLR246W,0.047719,1684,0.047719,3262
YKL159C,0.047711,1685,0.047711,3263
YDR317W,0.047669,1686,0.047669,3264
YCL021W-A,0.047657,1687,0.047657,3265
YML010W,-0.047632,3795,0.047632,3266
YOR027W,0.047627,1688,0.047627,3267
YDR312W,-0.047604,3794,0.047604,3268
YOL159C-A,0.047553,1689,0.047553,3269
YDR119W,0.047538,1690,0.047538,3270
YDL034W,0.047529,1691,0.047529,3271
YJR012C,-0.047525,3793,0.047525,3272
YDR161W,0.047519,1692,0.047519,3273
YKL088W,-0.047509,3792,0.047509,3274
YDL110C,-0.047493,3791,0.047493,3275
YOL035C,-0.047489,3790,0.047489,3276
YJL151C,-0.047392,3788,0.047392,3277
YJL012C,-0.047392,3789,0.047392,3278
YER163C,0.047327,1693,0.047327,3279
YPR107C,0.047278,1694,0.047278,3280
YPL068C,-0.047269,3787,0.047269,3281
YJL127C-B,-0.047244,3785,0.047244,3282
YOR032C,-0.047244,3786,0.047244,3283
YGL170C,-0.047237,3784,0.047237,3284
YMR305C,-0.04723,3783,0.04723,3285
YGR106C,0.047189,1695,0.047189,3286
YPL231W,-0.047113,3782,0.047113,3287
YER060W-A,-0.04711,3781,0.04711,3288
YOL153C,0.047007,1696,0.047007,3289
YDR197W,0.046995,1697,0.046995,3290
YLR165C,-0.046966,3780,0.046966,3291
YHR204W,-0.046962,3779,0.046962,3292
YML048W,-0.046938,3778,0.046938,3293
YFL010W-A,-0.046917,3777,0.046917,3294
YDR090C,0.0469,1698,0.0469,3295
YOR286W,0.046863,1699,0.046863,3296
YGL259W,0.046817,1700,0.046817,3297
YAL064C-A,-0.046733,3776,0.046733,3298
YLR356W,0.04673,1701,0.04673,3299
YOR100C,-0.046666,3775,0.046666,3300
YLR380W,0.046658,1702,0.046658,3301
YMR004W,-0.046651,3774,0.046651,3302
YDR008C,0.046618,1703,0.046618,3303
YDL187C,0.046603,1704,0.046603,3304
YFR047C,-0.046572,3773,0.046572,3305
YER151C,0.046529,1705,0.046529,3306
YPL270W,-0.046514,3772,0.046514,3307
YDL199C,-0.046485,3771,0.046485,3308
YOR302W,0.046477,1706,0.046477,3309
YJR121W,0.046468,1707,0.046468,3310
YGR205W,0.046463,1708,0.046463,3311
YMR177W,-0.046446,3770,0.046446,3312
YOR077W,0.046433,1709,0.046433,3313
YBR215W,0.046366,1710,0.046366,3314
YBR250W,0.04632,1711,0.04632,3315
YGR125W,0.046308,1712,0.046308,3316
YPL248C,0.046293,1713,0.046293,3317
YNL234W,0.046273,1714,0.046273,3318
YBL008W,0.046268,1715,0.046268,3319
YOR084W,0.046231,1716,0.046231,3320
YHR076W,0.04623,1717,0.04623,3321
YLR136C,0.046227,1718,0.046227,3322
YHR038W,0.046225,1719,0.046225,3323
YNL133C,-0.046222,3769,0.046222,3324
YIL114C,0.046209,1720,0.046209,3325
YBR073W,-0.046206,3768,0.046206,3326
YJL090C,-0.046127,3767,0.046127,3327
YEL015W,-0.046123,3766,0.046123,3328
YFR010W,0.046113,1721,0.046113,3329
YGR275W,0.046047,1722,0.046047,3330
YDR483W,-0.046023,3765,0.046023,3331
YLR046C,-0.046004,3764,0.046004,3332
YOR018W,0.045965,1723,0.045965,3333
YBR218C,0.045861,1724,0.045861,3334
YGR289C,-0.045857,3763,0.045857,3335
YAL060W,0.045828,1725,0.045828,3336
YGR001C,-0.0458,3762,0.0458,3337
YOR313C,-0.045782,3761,0.045782,3338
YCL062W,0.045771,1726,0.045771,3339
YOR376W-A,-0.045764,3760,0.045764,3340
YFR030W,-0.045741,3759,0.045741,3341
YNL301C,0.04573,1727,0.04573,3342
YKL096W-A,-0.04573,3758,0.04573,3343
YOL019W-A,0.045704,1728,0.045704,3344
YLR166C,-0.045685,3757,0.045685,3345
YOR140W,0.045682,1729,0.045682,3346
YCL012W,-0.045667,3756,0.045667,3347
YNL297C,0.045636,1730,0.045636,3348
YGR043C,0.045628,1731,0.045628,3349
YGL251C,0.045607,1732,0.045607,3350
YPL074W,0.045599,1733,0.045599,3351
YPL119C,-0.045572,3755,0.045572,3352
YMR124W,-0.045507,3754,0.045507,3353
YAL033W,-0.045504,3753,0.045504,3354
YOL088C,0.04549,1734,0.04549,3355
YOR181W,-0.045487,3752,0.045487,3356
YER053C,0.04541,1735,0.04541,3357
YGR127W,-0.045391,3751,0.045391,3358
YER090W,-0.045379,3750,0.045379,3359
YKR067W,0.045361,1736,0.045361,3360
YMR158W-A,-0.045308,3749,0.045308,3361
YPL089C,-0.045306,3748,0.045306,3362
YOR370C,0.045301,1737,0.045301,3363
YCR101C,0.045255,1738,0.045255,3364
YML084W,-0.045199,3747,0.045199,3365
YLR012C,0.045158,1739,0.045158,3366
YPR111W,-0.045132,3746,0.045132,3367
YGL261C,-0.045113,3745,0.045113,3368
YHL032C,0.045091,1740,0.045091,3369
YDR225W,-0.045082,3744,0.045082,3370
YDR272W,-0.045061,3743,0.045061,3371
YER186C,-0.045044,3742,0.045044,3372
YPR170C,0.045014,1741,0.045014,3373
YDR129C,0.044982,1742,0.044982,3374
YML058W,-0.044969,3741,0.044969,3375
YKL034W,-0.044926,3740,0.044926,3376
YIL060W,-0.044918,3739,0.044918,3377
YOL051W,0.04485,1743,0.04485,3378
YGR007W,0.044818,1744,0.044818,3379
YER051W,0.04478,1745,0.04478,3380
YLR107W,-0.044778,3738,0.044778,3381
YKR051W,0.044776,1746,0.044776,3382
YNL163C,0.04476,1747,0.04476,3383
YMR194C-A,0.044698,1748,0.044698,3384
YKL038W,0.044688,1749,0.044688,3385
YPR118W,0.044686,1750,0.044686,3386
