F14D12.2.1,WBGene00006826
C49H3.11.1,WBGene00004471
Y49A3A.5,WBGene00000877
Y75B12B.5,WBGene00000879
F59E10.2,WBGene00000880
Y75B12B.2.1,WBGene00000883
C36E8.5.1,WBGene00006537
F21C3.5,WBGene00009004
T24H10.1,WBGene00012000
C47D12.6a,WBGene00006617
F41C3.5.1,WBGene00018271
K02B2.5.1,WBGene00004494
T05H10.6b,WBGene00011510
F31E3.5.1,WBGene00001168
F31E3.3,WBGene00004340
K07C5.1,WBGene00000200
D1005.1,WBGene00016995
C50F7.4,WBGene00016844
C05G5.4.1,WBGene00007350
F17C11.9a.1,WBGene00008920
K02A4.1,WBGene00001149
C06A1.1,WBGene00007352
C41C4.8.1,WBGene00008053
B0035.9,WBGene00001920
B0365.1,WBGene00007150
C55A6.9,WBGene00008338
F10C2.4,WBGene00008645
F26E4.3.1,WBGene00009158
F39H11.5,WBGene00003953
K05B2.3,WBGene00002052
K07A1.12,WBGene00003036
B0547.1,WBGene00000817
C07D8.6,WBGene00015565
C32E8.2a.1,WBGene00004425
C37H5.6a,WBGene00016509
C50F2.3,WBGene00016837
F08D12.1,WBGene00017245
F26B1.3,WBGene00002073
F26B1.2a,WBGene00017816
F46F11.5.1,WBGene00006919
F55F8.5.1,WBGene00018893
F56A3.4.1,WBGene00004955
F56A3.3a.1,WBGene00003792
K11H12.2,WBGene00004427
M01E11.5.1,WBGene00000474
M01E11.6.1,WBGene00002225
T03F1.3,WBGene00020185
T23H2.3,WBGene00020742
T27A3.2,WBGene00020839
Y37E3.7.1,WBGene00004409
W08E3.3a.1,WBGene00012344
F53F1.2.1,WBGene00009980
C10H11.9,WBGene00002694
ZK370.8,WBGene00022722
B0464.7,WBGene00000235
B0464.1.1,WBGene00001094
T23G5.1.1,WBGene00004391
C30C11.2.1,WBGene00004460
ZC101.2e,WBGene00006787
F13G11.3,WBGene00045038
C38C3.5a.1,WBGene00006794
C32A3.2,WBGene00007859
C45G9.5,WBGene00016676
EEED8.1.1,WBGene00017132
K10D2.3,WBGene00019629
R07G3.5,WBGene00019941
B0495.4,WBGene00003730
C08B11.7.1,WBGene00006724
C28H8.3,WBGene00016194
C32D5.8b,WBGene00016316
C03G5.1,WBGene00015391
D2013.9.1,WBGene00008405
F48E8.5.1,WBGene00003901
F42A8.2.1,WBGene00006433
K10D2.6.1,WBGene00001262
M106.1,WBGene00003367
R06F6.9.1,WBGene00001153
C17G10.2,WBGene00015916
C17G10.8,WBGene00000970
R74.1.1,WBGene00003073
