AH6.5,WBGene00003231
F56D2.5,WBGene00018966
F56F11.3.1,WBGene00018990
F56F11.4b,WBGene00018991
F56F3.1,WBGene00004132
F56F3.2a,WBGene00003577
F57B10.10,WBGene00000896
F57B10.12,WBGene00003184
F57B9.2a,WBGene00002845
F57B9.5,WBGene00000276
F57F4.4.1,WBGene00019017
F58B3.4.1,WBGene00010231
F58B3.5a,WBGene00003415
F58B3.7,WBGene00010233
F58E10.1b,WBGene00010259
F59D8.1,WBGene00006927
F59D8.2,WBGene00006928
F59E10.1,WBGene00003882
F59E12.12,WBGene00000252
F59F4.1,WBGene00010336
H02F09.3,WBGene00019146
H02I12.1,WBGene00010351
H05C05.1c,WBGene00019157
H06I04.3a,WBGene00019168
H13N06.6b,WBGene00006541
H20J18.1a.1,WBGene00004739
H27M09.1,WBGene00019245
H34C03.2b,WBGene00019259
JC8.2.1,WBGene00010435
JC8.3a,WBGene00004424
K01C8.1.1,WBGene00010456
K01G5.2c,WBGene00001996
K02D7.1b,WBGene00019298
K02F2.1a,WBGene00001056
K02F3.2b,WBGene00019326
K03A1.5.1,WBGene00006351
K03H1.2.1,WBGene00003389
K04C2.2.1,WBGene00019380
K04F10.4d.1,WBGene00000254
K04G7.3a.1,WBGene00003858
K05B2.5b,WBGene00003986
K05C4.6b,WBGene00001979
K06A5.4,WBGene00019432
K07A1.10.1,WBGene00010616
K07A1.11,WBGene00004312
K07A12.1,WBGene00010620
K07A12.2,WBGene00010621
K07A12.7,WBGene00010624
K07B1.3,WBGene00006729
K07C5.3,WBGene00010626
K07C5.4,WBGene00010627
K07H8.1,WBGene00019503
K07H8.3,WBGene00000923
K08B4.3,WBGene00019515
K08D12.1,WBGene00003947
K08E3.1,WBGene00010661
K08E3.4,WBGene00010664
K08F4.1.1,WBGene00010676
K08H10.1k,WBGene00002263
K09E9.4,WBGene00044143
K09F5.2,WBGene00006925
K10B2.1b.1,WBGene00003009
K10B2.2a.1,WBGene00019605
K10B3.6d,WBGene00019612
K11D2.1b,WBGene00010768
K11D9.1a,WBGene00002219
K11D9.2a,WBGene00004736
K11H12.1,WBGene00019658
K11H3.1b,WBGene00010778
K11H3.3,WBGene00010780
K12B6.9,WBGene00023432
K12C11.4a,WBGene00003400
K12D12.1,WBGene00010785
K12H4.2,WBGene00019677
K12H4.3,WBGene00019678
LLC1.1a,WBGene00006606
LLC1.2a,WBGene00010793
M01A10.2i,WBGene00006594
M01B12.4c,WBGene00019697
M01E11.4c,WBGene00019713
M01E5.6,WBGene00010808
M05D6.7,WBGene00001523
M110.4a,WBGene00002066
M116.5,WBGene00019792
M18.5.1,WBGene00010890
M88.5c,WBGene00010908
R05D11.5,WBGene00011033
R05D11.6,WBGene00011034
R05D8.8,WBGene00000977
R05F9.1b.1,WBGene00019888
R05H10.3a,WBGene00011044
R06A4.2,WBGene00011047
R06B9.3.1,WBGene00011054
R06C1.3a,WBGene00006958
R06C7.1.1,WBGene00011061
R06C7.3.1,WBGene00000963
R06C7.5a.1,WBGene00011064
R06C7.7b,WBGene00003041
R06C7.9a.1,WBGene00011066
R07E5.1,WBGene00011109
R07E5.10a.1,WBGene00011116
R07E5.2,WBGene00011110
R07H5.3a.1,WBGene00011123
R09B5.6,WBGene00019978
R107.6b.1,WBGene00000549
R10E11.1b,WBGene00000366
R10E4.2q,WBGene00006331
R119.2,WBGene00020088
R119.3,WBGene00020089
R119.6,WBGene00006385
R11A5.1a,WBGene00000163
R11A5.2,WBGene00011230
R11A8.5,WBGene00011239
R12E2.2,WBGene00020031
R13A5.6,WBGene00020049
R144.7b.1,WBGene00020097
R151.2d.1,WBGene00020107
R57.1a,WBGene00020082
R74.1.1,WBGene00003073
R74.5a.1,WBGene00011279
T01G1.3.1,WBGene00011338
T01G9.4.1,WBGene00003788
T01H3.3,WBGene00011349
T01H3.4,WBGene00011350
T02G5.7,WBGene00020166
T02G5.8.1,WBGene00002183
T04A8.5,WBGene00011407
T04A8.6,WBGene00011408
T04C10.1,WBGene00003149
T04C12.5.1,WBGene00000064
T04G9.3,WBGene00002071
T04H1.9,WBGene00006539
T05C12.6a,WBGene00003241
T05D4.4a,WBGene00003887
T05E11.2b,WBGene00011479
T05E11.3a.1,WBGene00011480
T05E12.3,WBGene00011486
T05E7.3.1,WBGene00020259
T05F1.11,WBGene00011495
T05F1.2,WBGene00011489
T05G5.1a,WBGene00011498
T05G5.3.1,WBGene00000405
T05G5.5d,WBGene00011500
T05H10.5b,WBGene00006734
T05H4.10,WBGene00020273
T06A10.1a,WBGene00020284
T06D8.5,WBGene00011526
T06D8.6.1,WBGene00011527
T06E4.1.1,WBGene00001830
T06G6.6a,WBGene00011548
T07A9.10,WBGene00020298
T07A9.11.1,WBGene00004493
T07A9.8,WBGene00020296
T07C4.3a,WBGene00011560
T08A9.12,WBGene00004987
T08A9.2,WBGene00020335
T08B1.6,WBGene00020343
T08B2.7a,WBGene00020347
T09A5.8,WBGene00011636
T09B4.1.1,WBGene00020375
T09B4.8,WBGene00020382
T09F3.2,WBGene00011662
T10B5.3a,WBGene00020389
T11F8.3a.1,WBGene00004374
T12D8.4,WBGene00011732
T12D8.5a,WBGene00011733
T12D8.6.1,WBGene00011734
T12G3.4.1,WBGene00011739
T13C2.6b,WBGene00020481
T13F2.7,WBGene00011747
T14F9.1.1,WBGene00020507
T18H9.1,WBGene00001695
T19B10.7.1,WBGene00002072
T19H12.1a,WBGene00020587
T20F10.2a,WBGene00011864
T20F7.6,WBGene00020633
T20G5.1,WBGene00011867
T20H4.1a,WBGene00003890
