AH6.5,WBGene00003231
F40F9.5.1,WBGene00009582
F40G9.18,WBGene00189954
F41E6.14,WBGene00018295
F41E7.2.1,WBGene00009618
F41E7.6,WBGene00009622
F41G3.4,WBGene00001424
F42A10.2b,WBGene00003593
F42A10.4a,WBGene00001160
F42A6.1,WBGene00018323
F42A6.2,WBGene00018324
F42A6.9,WBGene00018330
F42C5.5a,WBGene00018347
F42F12.4.1,WBGene00009636
F43D9.3a,WBGene00009654
F43E2.4,WBGene00001812
F43E2.5.1,WBGene00018393
F43E2.7a,WBGene00018395
F43G6.7,WBGene00009659
F43G9.6a,WBGene00001414
F44B9.6,WBGene00003021
F44E2.4,WBGene00018418
F44E2.7a,WBGene00018420
F44E5.5.1,WBGene00009692
F44E7.2,WBGene00018424
F44F4.15,WBGene00194850
F45E12.2a,WBGene00000271
F45E4.11,WBGene00018473
F45G2.9,WBGene00009735
F45H10.4,WBGene00009741
F46A9.2,WBGene00009755
F46A9.3a,WBGene00006681
F46B6.6a,WBGene00009771
F46C8.7a,WBGene00018486
F46F11.1a,WBGene00018508
F46G11.6,WBGene00045269
F46H5.2a.1,WBGene00018518
F47B3.6,WBGene00018530
F47G9.6,WBGene00009833
F48A11.4a,WBGene00018585
F48D6.1.1,WBGene00006393
F48E3.3,WBGene00018604
F48E3.9,WBGene00018608
F48E8.4,WBGene00018611
F48E8.6,WBGene00018612
F49C12.1,WBGene00009871
F49C12.6,WBGene00009876
F49C12.7b,WBGene00009877
F49E12.10,WBGene00009903
F49E8.1b,WBGene00018635
F49E8.2a,WBGene00018636
F49E8.3b,WBGene00003914
F52B5.5a.1,WBGene00000467
F52D10.1,WBGene00009929
F52D2.12,WBGene00219451
F52D2.8b,WBGene00018690
F52E1.13a,WBGene00018700
F52E10.5,WBGene00002051
F53A2.3,WBGene00009951
F53A2.5,WBGene00001092
F53A3.2,WBGene00018721
F53A3.4b,WBGene00004128
F53A3.7,WBGene00018723
F53B7.2a,WBGene00009965
F53F1.10,WBGene00005096
F53F10.2a.1,WBGene00018764
F53F10.5.1,WBGene00003797
F53F4.10,WBGene00009992
F53F4.14.1,WBGene00009996
F53F8.5,WBGene00010002
F53F8.6,WBGene00010003
F53G12.4,WBGene00018772
F53H4.1,WBGene00000803
F54A3.2,WBGene00018781
F54A3.4,WBGene00018783
F54C1.5a,WBGene00001117
F54C1.8,WBGene00018792
F54C9.2,WBGene00006059
F54C9.3,WBGene00010041
F54C9.6a.1,WBGene00010042
F54C9.7,WBGene00010043
F54D10.9,WBGene00018810
F54D11.2.1,WBGene00018812
F54D5.2,WBGene00010048
F54D5.5b,WBGene00010051
F54D7.3a,WBGene00018798
F54D7.4,WBGene00006984
F54D8.1,WBGene00001076
F54D8.2.1,WBGene00006519
F54E4.4,WBGene00010060
F54F7.10,WBGene00077680
F54G8.5,WBGene00004223
F54H12.4,WBGene00018844
F55A3.2.1,WBGene00018848
F55B11.1,WBGene00010083
F55F8.1.1,WBGene00004224
F55F8.7,WBGene00018895
F55F8.9a,WBGene00018897
F55G1.15,WBGene00018907
F55G1.2,WBGene00001933
F55G1.8.1,WBGene00004044
F55H12.6a,WBGene00010137
F55H2.2.1,WBGene00010130
F55H2.5,WBGene00010131
F55H2.6,WBGene00000550
F56C4.2,WBGene00010145
F56C4.3a,WBGene00010146
F56C4.4a,WBGene00044977
F56C9.10b,WBGene00018953
F56C9.3.1,WBGene00018948
F56D12.4a,WBGene00002176
F56D12.6a,WBGene00018974
F56D2.5,WBGene00018966
F56E10.2a.1,WBGene00018976
F56F11.3.1,WBGene00018990
F56F11.4b,WBGene00018991
F56F3.2a,WBGene00003577
F56H1.3,WBGene00018994
F56H11.2a,WBGene00010175
F57B1.1,WBGene00010187
F57B10.1.1,WBGene00002783
F57B10.10,WBGene00000896
F57B10.12,WBGene00003184
F57B9.4a,WBGene00000762
F57B9.5,WBGene00000276
F57C2.2,WBGene00010194
F57F4.4.1,WBGene00019017
F57G9.4,WBGene00010220
F58A3.4,WBGene00010224
F58A4.14a,WBGene00043992
F58B3.4.1,WBGene00010231
F58B3.7,WBGene00010233
F58D2.2,WBGene00010241
F58D2.3,WBGene00044978
F58E10.1b,WBGene00010259
F58E10.2,WBGene00001310
F58E6.6,WBGene00010255
F59A2.2b,WBGene00010302
F59A3.9,WBGene00019082
F59D6.5,WBGene00005755
F59E10.1,WBGene00003882
F59E12.12,WBGene00000252
F59F4.1,WBGene00010336
F59H6.9,WBGene00019139
H01G02.4.1,WBGene00045108
H02F09.3,WBGene00019146
H02I12.3,WBGene00006459
H05B21.3,WBGene00005889
H05C05.1c,WBGene00019157
H06H21.11,WBGene00044483
H06I04.3a,WBGene00019168
H06I04.5,WBGene00019169
H06I04.6b.1,WBGene00019170
H13N06.6b,WBGene00006541
H19M22.3a,WBGene00019212
H20J18.1a.1,WBGene00004739
H22D07.1,WBGene00019224
H22D14.1,WBGene00010410
H24K24.2a,WBGene00019239
H28G03.6,WBGene00003477
H34C03.1,WBGene00004954
H37A05.2,WBGene00010426
JC8.16,WBGene00194915
JC8.2.1,WBGene00010435
JC8.3a,WBGene00004424
JC8.5a,WBGene00010437
JC8.6a,WBGene00003037
K01B6.4,WBGene00010455
K01C8.1.1,WBGene00010456
K01G5.2c,WBGene00001996
K01G5.3,WBGene00010477
K01G5.6.1,WBGene00004361
K02B2.4a,WBGene00002129
K02C4.2,WBGene00010501
K02D10.8.1,WBGene00219329
K02D3.2,WBGene00010505
K02D7.1b,WBGene00019298
K02F2.1a,WBGene00001056
K02F3.1,WBGene00006430
K02F3.2b,WBGene00019326
K03A1.5.1,WBGene00006351
